"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
In 1951 and 1952 , there were three airplane crashes in her hometown of Elizabeth .	airplane	Because tire noise is generated through the conversion of kinetic energy to sound waves , more noise is produced as the speed of a vehicle increases .	vehicle	1
Her only contacts , a motor sampan , a hospital ship , and 106 planes , provided excellent diving experience , but poor hunting .	sampan	A hardware store still stands , which stood as the Prairie Winds cafe for many years , today the building remains unoccupied .	building	0
After the manager of the hotel met him in the bar , he asked to see his old room .	hotel	Carrosserie Pourtout ceased its creative operations in 1994 but survives to the present day as a vehicle body repair shop .	vehicle	0
Opharus calosoma Opharus calosoma is a moth of the family Erebidae .	calosoma	""" P. labiata "" and "" P. schultzi "" also occasionally jump on an insect ."	insect	1
It was a single-engined pusher biplane based on a floatplane built by Sopwith before the war for Greece .	floatplane	Leanster Leanster Brudeli 625L is a three-wheeled vehicle , with two wheels in front and one rear wheel .	vehicle	1
Apart from the great Indian bustard , avifauna in the sanctuary include peafowl , sirkeer cuckoo , large grey babbler , baybacked shrike and black drongo .	peafowl	Gasterophilus intestinalis Gasterophilus intestinalis , also known as horse bot fly , is a species of insect of the family Oestridae , and is found worldwide .	insect	0
Arizona 's car is an old jeep which he has named affectionately as Gippippa ( Jeep + Pippo , Goofy 's Italian name ) .	jeep	"The production vehicle was called the Datson Type 10 , and "" approximately ten "" of these cars were sold in 1931 ."	vehicle	1
An average of 35 % of an opah 's weight is consumable , with the remaining 65 % being bone and thick skin .	opah	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
The Max was designed as an intermediate glider and made from Skytex material with Technora lines .	glider	Radiators are typically mounted in a position where they receive airflow from the forward movement of the vehicle , such as behind a front grill .	vehicle	1
Swan fan Makkum Swan fan Makkum is a brigantine , built in 1993 in the Gdansk shipyard , Poland .	brigantine	Less commonly , power steering fluid , brake fluid , and other hydraulic fluids may be cooled by an auxiliary radiator on a vehicle .	vehicle	1
Distinguishing this skua from the other North Atlantic skuas ( parasitic jaeger , pomarine jaeger and long-tailed jaeger ) is relatively straightforward .	jaeger	A shrike 's beak is hooked , like that of a typical bird of prey .	bird	1
"According to the company the name stands for "" excellent "" Keijidōsha "" "" , or "" excellent minicar "" ."	minicar	She will be appearing with Steve Coogan in the new Alan Partridge vehicle ' This Time ' , scheduled to air later in 2018 .	vehicle	1
Birds commonly seen in the park include the common raven and the western meadowlark , known for its charming song .	meadowlark	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
The astounding depth of the river and general good water quality support a population of the ancient sturgeon .	sturgeon	A shrike 's beak is hooked , like that of a typical bird of prey .	bird	0
Since the late 1960s , the nunnery has been administered by first , the city of Saint-Boniface , then the City of Winnipeg after the amalgamation of 1971 .	nunnery	His private motor vehicle had also been purchased with the help of certain businessmen , the parliamentarian claimed .	vehicle	0
It is assumed that they constructed the mosque so that their merchants could pray while trading on this part of the Adriatic Coast .	mosque	The mounds are on private property but can be observed some five miles in the distance by vehicle .	vehicle	0
They are also the largest shanks apart from the willet , which is altogether more robustly built .	willet	List of birds of Chile This is a list of the bird species recorded in Chile .	bird	1
Uropterygius supraforatus Uropterygius supraforatus is a moray eel found in coral reefs in the Pacific and Indian Oceans .	moray	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
Neocicada hieroglyphica Neocicada hieroglyphica , the hieroglyphic cicada , is a species of cicada in the family Cicadidae .	cicada	She is married to actor Chatchai Plengpanich , and the two share the same nickname , Nok ( meaning in Thai : bird ) .	bird	0
"Topote Topotes are a local dish of Catemaco , Veracruz , Mexico made from threadfin shad "" ( Dorosoma petenense ) . """	threadfin	Hairy attachment systems are typical for evolutionary younger and successful insect groups , such as Coleoptera and Diptera .	insect	0
The favorite baits for tautog include green crabs , Asian shore crabs , fiddler crabs , clams , shrimp , mussels , sandworms , and lobsters .	tautog	Having the largest wingspan-to-body-weight ratio of any bird , they are essentially aerial , able to stay aloft for more than a week .	bird	0
After reassembling the old gang , the crew decided to find a shrine and free Holly 's father from the disk but keep Moo trapped .	shrine	Women 's desires and needs were trivialized , and education became a tool to maintain male control of women .	tool	0
Was upgraded by ADC in 1954 to the dedicated F-94A Starfire all-weather interceptor .	interceptor	It is an established tool for non-contact determination of material and electronic properties of semiconductor films .	tool	0
The team traveled by dogsled : three sleds and a rotation of 36 dogs .	dogsled	Less commonly , power steering fluid , brake fluid , and other hydraulic fluids may be cooled by an auxiliary radiator on a vehicle .	vehicle	1
Braille created his own raised-dot system by using an awl , the same kind of implement which had blinded him .	awl	This tool involved a process through which medal portraits could be replicated into smaller sized coins .	tool	1
Alternate common names include Fiji lory , ruffled lory , and solitary lory .	lory	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
Many of the hams are also smoked in a small , wood-fired smokehouse that sits behind the shop .	smokehouse	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	1
Doroneuria baumanni Doroneuria baumanni , the cascades stone , is a species of common stonefly in the family Perlidae .	stonefly	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
Lipophrys pholis Lipophrys pholis , commonly known as shanny , is a species of combtooth blenny .	shanny	However , stink bugs are not listed as reportable , meaning that they do not need to be reported and no action is required to remove the insect .	insect	0
